id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_produksi,satuan,tahun,jenis_produksi
73,32,JAWA BARAT,3273,KOTA BANDUNG,1371,TON,2015,daging domba
74,32,JAWA BARAT,3279,KOTA BANJAR,14,TON,2015,daging domba
75,32,JAWA BARAT,3275,KOTA BEKASI,2517,TON,2015,daging domba
76,32,JAWA BARAT,3271,KOTA BOGOR,86,TON,2015,daging domba
77,32,JAWA BARAT,3277,KOTA CIMAHI,353,TON,2015,daging domba
78,32,JAWA BARAT,3274,KOTA CIREBON,73,TON,2015,daging domba
79,32,JAWA BARAT,3276,KOTA DEPOK,273,TON,2015,daging domba
80,32,JAWA BARAT,3272,KOTA SUKABUMI,77,TON,2015,daging domba
81,32,JAWA BARAT,3278,KOTA TASIKMALAYA,50,TON,2015,daging domba
82,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1137,TON,2016,daging domba
83,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1990,TON,2016,daging domba
84,32,JAWA BARAT,3216,KABUPATEN BEKASI,592,TON,2016,daging domba
85,32,JAWA BARAT,3201,KABUPATEN BOGOR,1415,TON,2016,daging domba
86,32,JAWA BARAT,3207,KABUPATEN CIAMIS,446,TON,2016,daging domba
87,32,JAWA BARAT,3203,KABUPATEN CIANJUR,952,TON,2016,daging domba
88,32,JAWA BARAT,3209,KABUPATEN CIREBON,2881,TON,2016,daging domba
89,32,JAWA BARAT,3205,KABUPATEN GARUT,2035,TON,2016,daging domba
90,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,321,TON,2016,daging domba
91,32,JAWA BARAT,3215,KABUPATEN KARAWANG,583,TON,2016,daging domba
92,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1556,TON,2016,daging domba
93,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1220,TON,2016,daging domba
94,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,107,TON,2016,daging domba
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,92,TON,2016,daging domba
96,32,JAWA BARAT,3213,KABUPATEN SUBANG,1401,TON,2016,daging domba
97,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,658,TON,2016,daging domba
98,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,576,TON,2016,daging domba
99,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,833,TON,2016,daging domba
100,32,JAWA BARAT,3273,KOTA BANDUNG,846,TON,2016,daging domba
101,32,JAWA BARAT,3279,KOTA BANJAR,24,TON,2016,daging domba
102,32,JAWA BARAT,3275,KOTA BEKASI,2574,TON,2016,daging domba
103,32,JAWA BARAT,3271,KOTA BOGOR,103,TON,2016,daging domba
104,32,JAWA BARAT,3277,KOTA CIMAHI,291,TON,2016,daging domba
105,32,JAWA BARAT,3274,KOTA CIREBON,273,TON,2016,daging domba
106,32,JAWA BARAT,3276,KOTA DEPOK,278,TON,2016,daging domba
107,32,JAWA BARAT,3272,KOTA SUKABUMI,74,TON,2016,daging domba
108,32,JAWA BARAT,3278,KOTA TASIKMALAYA,25,TON,2016,daging domba
109,32,JAWA BARAT,3204,KABUPATEN BANDUNG,826,TON,2017,daging domba
110,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2043,TON,2017,daging domba
111,32,JAWA BARAT,3216,KABUPATEN BEKASI,629,TON,2017,daging domba
112,32,JAWA BARAT,3201,KABUPATEN BOGOR,10056,TON,2017,daging domba
113,32,JAWA BARAT,3207,KABUPATEN CIAMIS,452,TON,2017,daging domba
114,32,JAWA BARAT,3203,KABUPATEN CIANJUR,871,TON,2017,daging domba
115,32,JAWA BARAT,3209,KABUPATEN CIREBON,3847,TON,2017,daging domba
116,32,JAWA BARAT,3205,KABUPATEN GARUT,5215,TON,2017,daging domba
117,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,326,TON,2017,daging domba
118,32,JAWA BARAT,3215,KABUPATEN KARAWANG,36,TON,2017,daging domba
119,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,621,TON,2017,daging domba
120,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1535,TON,2017,daging domba
121,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,87,TON,2017,daging domba
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,97,TON,2017,daging domba
123,32,JAWA BARAT,3213,KABUPATEN SUBANG,1395,TON,2017,daging domba
124,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,660,TON,2017,daging domba
125,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,625,TON,2017,daging domba
126,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,837,TON,2017,daging domba
127,32,JAWA BARAT,3273,KOTA BANDUNG,875,TON,2017,daging domba
128,32,JAWA BARAT,3279,KOTA BANJAR,12,TON,2017,daging domba
129,32,JAWA BARAT,3275,KOTA BEKASI,2599,TON,2017,daging domba
130,32,JAWA BARAT,3271,KOTA BOGOR,96,TON,2017,daging domba
131,32,JAWA BARAT,3277,KOTA CIMAHI,282,TON,2017,daging domba
132,32,JAWA BARAT,3274,KOTA CIREBON,70,TON,2017,daging domba
133,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2017,daging domba
134,32,JAWA BARAT,3272,KOTA SUKABUMI,87,TON,2017,daging domba
135,32,JAWA BARAT,3278,KOTA TASIKMALAYA,16,TON,2017,daging domba
136,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1967,TON,2018,daging domba
137,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2059,TON,2018,daging domba
138,32,JAWA BARAT,3216,KABUPATEN BEKASI,501,TON,2018,daging domba
139,32,JAWA BARAT,3201,KABUPATEN BOGOR,10200,TON,2018,daging domba
140,32,JAWA BARAT,3207,KABUPATEN CIAMIS,456,TON,2018,daging domba
