id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_produksi,satuan,tahun,jenis_produksi
71,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,9532,TON,2015,susu sapi
72,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3429,TON,2015,susu sapi
73,32,JAWA BARAT,3273,KOTA BANDUNG,1552,TON,2015,susu sapi
74,32,JAWA BARAT,3279,KOTA BANJAR,0,TON,2015,susu sapi
75,32,JAWA BARAT,3275,KOTA BEKASI,135,TON,2015,susu sapi
76,32,JAWA BARAT,3271,KOTA BOGOR,1802,TON,2015,susu sapi
77,32,JAWA BARAT,3277,KOTA CIMAHI,1849,TON,2015,susu sapi
78,32,JAWA BARAT,3274,KOTA CIREBON,13,TON,2015,susu sapi
79,32,JAWA BARAT,3276,KOTA DEPOK,1114,TON,2015,susu sapi
80,32,JAWA BARAT,3272,KOTA SUKABUMI,261,TON,2015,susu sapi
81,32,JAWA BARAT,3278,KOTA TASIKMALAYA,450,TON,2015,susu sapi
82,32,JAWA BARAT,3204,KABUPATEN BANDUNG,64996,TON,2016,susu sapi
83,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,119392,TON,2016,susu sapi
84,32,JAWA BARAT,3216,KABUPATEN BEKASI,185,TON,2016,susu sapi
85,32,JAWA BARAT,3201,KABUPATEN BOGOR,15701,TON,2016,susu sapi
86,32,JAWA BARAT,3207,KABUPATEN CIAMIS,242,TON,2016,susu sapi
87,32,JAWA BARAT,3203,KABUPATEN CIANJUR,5829,TON,2016,susu sapi
88,32,JAWA BARAT,3209,KABUPATEN CIREBON,196,TON,2016,susu sapi
89,32,JAWA BARAT,3205,KABUPATEN GARUT,34080,TON,2016,susu sapi
90,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,126,TON,2016,susu sapi
91,32,JAWA BARAT,3215,KABUPATEN KARAWANG,18,TON,2016,susu sapi
92,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,15742,TON,2016,susu sapi
93,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1728,TON,2016,susu sapi
94,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,TON,2016,susu sapi
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,TON,2016,susu sapi
96,32,JAWA BARAT,3213,KABUPATEN SUBANG,2613,TON,2016,susu sapi
97,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,8036,TON,2016,susu sapi
98,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,20502,TON,2016,susu sapi
99,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,5079,TON,2016,susu sapi
100,32,JAWA BARAT,3273,KOTA BANDUNG,2149,TON,2016,susu sapi
101,32,JAWA BARAT,3279,KOTA BANJAR,0,TON,2016,susu sapi
102,32,JAWA BARAT,3275,KOTA BEKASI,131,TON,2016,susu sapi
103,32,JAWA BARAT,3271,KOTA BOGOR,1504,TON,2016,susu sapi
