id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_produksi,satuan,tahun,jenis_produksi
126,32, JAWA BARAT,3218,KABUPATEN PANGANDARA,1,TON,2021,daging sapi
127,32, JAWA BARAT,3271,KOTA BOGOR,40,TON,2021,daging sapi
128,32, JAWA BARAT,3272,KOTA SUKABUMI,1,TON,2021,daging sapi
129,32, JAWA BARAT,3273,KOTA BANDUNG,0,TON,2021,daging sapi
130,32, JAWA BARAT,3274,KOTA CIREBON,0,TON,2021,daging sapi
131,32, JAWA BARAT,3275,KOTA BEKASI,2,TON,2021,daging sapi
132,32, JAWA BARAT,3276,KOTA DEPOK,6,TON,2021,daging sapi
133,32, JAWA BARAT,3277,KOTA CIMAHI,1,TON,2021,daging sapi
134,32, JAWA BARAT,3278,KOTA TASIKMALAYA,4,TON,2021,daging sapi
135,32, JAWA BARAT,3279,KOTA BANJAR,1,TON,2021,daging sapi
136,32, JAWA BARAT,3201,KABUPATEN BOGOR,7,TON,2022,daging sapi
137,32, JAWA BARAT,3202,KABUPATEN SUKABUMI,2,TON,2022,daging sapi
138,32, JAWA BARAT,3203,KABUPATEN CIANJUR,2,TON,2022,daging sapi
139,32, JAWA BARAT,3204,KABUPATEN BANDUNG,6,TON,2022,daging sapi
140,32, JAWA BARAT,3205,KABUPATEN GARUT,1,TON,2022,daging sapi
141,32, JAWA BARAT,3206,KABUPATEN TASIKMALAY,3,TON,2022,daging sapi
142,32, JAWA BARAT,3207,KABUPATEN CIAMIS,2,TON,2022,daging sapi
143,32, JAWA BARAT,3208,KABUPATEN KUNINGAN,2,TON,2022,daging sapi
144,32, JAWA BARAT,3209,KABUPATEN CIREBON,4,TON,2022,daging sapi
145,32, JAWA BARAT,3210,KABUPATEN MAJALENGKA,2,TON,2022,daging sapi
146,32, JAWA BARAT,3211,KABUPATEN SUMEDANG,3,TON,2022,daging sapi
147,32, JAWA BARAT,3212,KABUPATEN INDRAMAYU,2,TON,2022,daging sapi
148,32, JAWA BARAT,3213,KABUPATEN SUBANG,1,TON,2022,daging sapi
149,32, JAWA BARAT,3214,KABUPATEN PURWAKARTA,1,TON,2022,daging sapi
150,32, JAWA BARAT,3215,KABUPATEN KARAWANG,2,TON,2022,daging sapi
151,32, JAWA BARAT,3216,KABUPATEN BEKASI,2,TON,2022,daging sapi
152,32, JAWA BARAT,3217,KABUPATEN BANDUNG BA,6,TON,2022,daging sapi
153,32, JAWA BARAT,3218,KABUPATEN PANGANDARA,1,TON,2022,daging sapi
154,32, JAWA BARAT,3271,KOTA BOGOR,3,TON,2022,daging sapi
155,32, JAWA BARAT,3272,KOTA SUKABUMI,1,TON,2022,daging sapi
156,32, JAWA BARAT,3273,KOTA BANDUNG,6,TON,2022,daging sapi
157,32, JAWA BARAT,3274,KOTA CIREBON,0,TON,2022,daging sapi
158,32, JAWA BARAT,3275,KOTA BEKASI,2,TON,2022,daging sapi
159,32, JAWA BARAT,3276,KOTA DEPOK,7,TON,2022,daging sapi
160,32, JAWA BARAT,3277,KOTA CIMAHI,0,TON,2022,daging sapi
161,32, JAWA BARAT,3278,KOTA TASIKMALAYA,2,TON,2022,daging sapi
162,32, JAWA BARAT,3279,KOTA BANJAR,1,TON,2022,daging sapi
