id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_produksi,satuan,tahun,jenis_produksi
74,32,JAWA BARAT,3279,KOTA BANJAR,0,TON,2015,daging babi
75,32,JAWA BARAT,3275,KOTA BEKASI,3,TON,2015,daging babi
76,32,JAWA BARAT,3271,KOTA BOGOR,0,TON,2015,daging babi
77,32,JAWA BARAT,3277,KOTA CIMAHI,0,TON,2015,daging babi
78,32,JAWA BARAT,3274,KOTA CIREBON,99,TON,2015,daging babi
79,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2015,daging babi
80,32,JAWA BARAT,3272,KOTA SUKABUMI,0,TON,2015,daging babi
81,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,TON,2015,daging babi
82,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,TON,2016,daging babi
83,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,TON,2016,daging babi
84,32,JAWA BARAT,3216,KABUPATEN BEKASI,6,TON,2016,daging babi
85,32,JAWA BARAT,3201,KABUPATEN BOGOR,229,TON,2016,daging babi
86,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,TON,2016,daging babi
87,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0,TON,2016,daging babi
88,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,TON,2016,daging babi
89,32,JAWA BARAT,3205,KABUPATEN GARUT,0,TON,2016,daging babi
90,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,TON,2016,daging babi
91,32,JAWA BARAT,3215,KABUPATEN KARAWANG,15,TON,2016,daging babi
92,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,256,TON,2016,daging babi
93,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,TON,2016,daging babi
94,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,TON,2016,daging babi
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,TON,2016,daging babi
96,32,JAWA BARAT,3213,KABUPATEN SUBANG,0,TON,2016,daging babi
97,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,718,TON,2016,daging babi
98,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,TON,2016,daging babi
99,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,TON,2016,daging babi
100,32,JAWA BARAT,3273,KOTA BANDUNG,988,TON,2016,daging babi
101,32,JAWA BARAT,3279,KOTA BANJAR,0,TON,2016,daging babi
102,32,JAWA BARAT,3275,KOTA BEKASI,3,TON,2016,daging babi
103,32,JAWA BARAT,3271,KOTA BOGOR,0,TON,2016,daging babi
104,32,JAWA BARAT,3277,KOTA CIMAHI,0,TON,2016,daging babi
