id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,produksi_kubis,satuan,tahun,jenis_produksi
75,32,JAWA BARAT,3273,KOTA BANDUNG,27,TON,2015,kubis
76,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2015,kubis
77,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2015,kubis
78,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2015,kubis
79,32,JAWA BARAT,3277,KOTA CIMAHI,40,TON,2015,kubis
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,TON,2015,kubis
81,32,JAWA BARAT,3279,KOTA BANJAR,0,TON,2015,kubis
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,264,TON,2016,kubis
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,5247,TON,2016,kubis
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,20986,TON,2016,kubis
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,106389,TON,2016,kubis
86,32,JAWA BARAT,3205,KABUPATEN GARUT,156535,TON,2016,kubis
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1522,TON,2016,kubis
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,TON,2016,kubis
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,2781,TON,2016,kubis
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,TON,2016,kubis
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,5280,TON,2016,kubis
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,7638,TON,2016,kubis
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,TON,2016,kubis
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,591,TON,2016,kubis
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,67,TON,2016,kubis
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,TON,2016,kubis
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,TON,2016,kubis
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,3447,TON,2016,kubis
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,TON,2016,kubis
100,32,JAWA BARAT,3271,KOTA BOGOR,0,TON,2016,kubis
101,32,JAWA BARAT,3272,KOTA SUKABUMI,0,TON,2016,kubis
102,32,JAWA BARAT,3273,KOTA BANDUNG,25,TON,2016,kubis
103,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2016,kubis
104,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2016,kubis
105,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2016,kubis
106,32,JAWA BARAT,3277,KOTA CIMAHI,80,TON,2016,kubis
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,TON,2016,kubis
108,32,JAWA BARAT,3279,KOTA BANJAR,0,TON,2016,kubis
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,329,TON,2017,kubis
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,6423,TON,2017,kubis
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,13111,TON,2017,kubis
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,95689,TON,2017,kubis
113,32,JAWA BARAT,3205,KABUPATEN GARUT,157902,TON,2017,kubis
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1090,TON,2017,kubis
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,265,TON,2017,kubis
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,2544,TON,2017,kubis
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,TON,2017,kubis
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,3253,TON,2017,kubis
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,6821,TON,2017,kubis
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,TON,2017,kubis
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,497,TON,2017,kubis
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,34,TON,2017,kubis
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,TON,2017,kubis
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,TON,2017,kubis
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,3580,TON,2017,kubis
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,TON,2017,kubis
127,32,JAWA BARAT,3271,KOTA BOGOR,0,TON,2017,kubis
128,32,JAWA BARAT,3272,KOTA SUKABUMI,0,TON,2017,kubis
129,32,JAWA BARAT,3273,KOTA BANDUNG,1,TON,2017,kubis
130,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2017,kubis
131,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2017,kubis
132,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2017,kubis
133,32,JAWA BARAT,3277,KOTA CIMAHI,0,TON,2017,kubis
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,TON,2017,kubis
135,32,JAWA BARAT,3279,KOTA BANJAR,0,TON,2017,kubis
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,338,TON,2018,kubis
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,10302,TON,2018,kubis
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,12245,TON,2018,kubis
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,91767,TON,2018,kubis
